,delta_da,label,counts,score,dC,dH,dN,dO
173,90.03169405209,C+3 H+6 O+3,"{'C': 3, 'H': 6, 'O': 3}",90.03169405209,3,6,0,3
174,92.0109586072,C+2 H+4 O+4,"{'C': 2, 'H': 4, 'O': 4}",92.0109586072,2,4,0,4
175,92.02621474849,C+6 H+4 O+1,"{'C': 6, 'H': 4, 'O': 1}",92.02621474848999,6,4,0,1
176,94.0054793036,C+5 H+2 O+2,"{'C': 5, 'H': 2, 'O': 2}",94.0054793036,5,2,0,2
177,94.04186481295,C+6 H+6 O+1,"{'C': 6, 'H': 6, 'O': 1}",94.04186481295,6,6,0,1
178,96.02112936806,C+5 H+4 O+2,"{'C': 5, 'H': 4, 'O': 2}",96.02112936806,5,4,0,2
179,96.05751487741,C+6 H+8 O+1,"{'C': 6, 'H': 8, 'O': 1}",96.05751487741,6,8,0,1
180,98.00039392317,C+4 H+2 O+3,"{'C': 4, 'H': 2, 'O': 3}",98.00039392317001,4,2,0,3
181,98.03677943252,C+5 H+6 O+2,"{'C': 5, 'H': 6, 'O': 2}",98.03677943252,5,6,0,2
182,100.01604398763,C+4 H+4 O+3,"{'C': 4, 'H': 4, 'O': 3}",100.01604398763001,4,4,0,3
183,100.05242949698,C+5 H+8 O+2,"{'C': 5, 'H': 8, 'O': 2}",100.05242949698001,5,8,0,2
184,101.99530854274,C+3 H+2 O+4,"{'C': 3, 'H': 2, 'O': 4}",101.99530854273999,3,2,0,4
185,102.03169405209,C+4 H+6 O+3,"{'C': 4, 'H': 6, 'O': 3}",102.03169405209,4,6,0,3
186,104.0109586072,C+3 H+4 O+4,"{'C': 3, 'H': 4, 'O': 4}",104.0109586072,3,4,0,4
187,104.04734411655,C+4 H+8 O+3,"{'C': 4, 'H': 8, 'O': 3}",104.04734411655001,4,8,0,3
188,106.04186481295,C+7 H+6 O+1,"{'C': 7, 'H': 6, 'O': 1}",106.04186481295,7,6,0,1
